Table 1. Real Gross Domestic Product and Related Measures: Percent Change from Preceding Period,,,,,,,,,,,,,,,,,,,,
Line,,2022,2023,2024,Seasonally adjusted at annual rates,,,,,,,,,,,,,,,
,,,,,2021,,2022,,,,2023,,,,2024,,,,2025,
21,Services,17.1,3.8,8.2,47.3,13.2,11.4,22.9,9.4,-4.2,0.0,7.2,-1.3,16.6,4.9,5.9,15.3,11.5,-5.8,-1.2
22,Government consumption expenditures and gross investment,-1.2,3.5,3.8,-2.9,0.0,-3.0,-1.4,1.7,4.1,4.1,3.3,5.2,4.7,2.3,3.3,5.4,3.3,-1.0,-0.1
23,Federal,-3.3,3.3,3.8,-7.4,3.4,-8.2,-3.7,-1.3,9.1,4.1,-0.1,6.8,3.4,0.8,4.3,8.6,4.4,-5.6,-5.3
24,National defense,-3.8,3.7,4.0,-4.1,-3.0,-10.4,1.4,-4.2,8.3,4.6,2.4,7.4,2.0,-2.6,6.9,13.5,4.6,-6.9,0.9
25,Nondefense,-2.7,2.8,3.6,-11.5,12.4,-5.2,-10.1,2.5,10.1,3.6,-3.1,6.0,5.2,5.5,0.9,2.4,4.1,-3.8,-13.0
26,State and local,0.0,3.6,3.8,-0.1,-2.1,0.2,0.0,3.5,1.4,4.1,5.4,4.2,5.4,3.2,2.8,3.6,2.7,1.9,3.1
,Addenda:,,,,,,,,,,,,,,,,,,,
27,Gross domestic income (GDI) 1,2.7,1.7,3.0,4.5,6.9,1.2,-0.3,3.6,-2.3,3.1,1.6,2.4,5.8,1.8,3.0,1.9,3.7,1.0,3.8
28,Average of GDP and GDI,2.6,2.3,2.9,3.9,7.0,0.1,0.2,3.2,0.2,3.0,2.1,3.6,4.6,1.3,3.3,2.6,2.8,0.2,3.8
29,Final sales of domestic product,1.9,3.4,2.8,0.6,2.8,-1.3,2.7,3.8,1.3,5.2,2.9,3.7,3.6,1.7,2.4,3.5,2.8,-3.2,7.5
30,Gross domestic purchases,2.8,2.4,3.1,4.2,7.1,1.1,0.3,0.3,2.6,2.3,2.8,4.5,3.4,1.2,4.5,3.7,1.9,4.0,-1.0
31,Final sales to domestic purchasers,2.2,2.9,3.1,1.5,3.1,0.9,2.3,1.1,1.1,4.5,3.2,3.5,3.6,2.0,3.4,3.8,2.8,1.4,2.4
32,Final sales to private domestic purchasers,2.9,2.7,3.0,2.4,3.7,1.7,3.0,1.0,0.5,4.6,3.1,3.2,3.4,2.0,3.4,3.4,2.7,1.9,2.9
33,Gross national product (GNP),2.5,2.7,2.4,3.3,7.6,-1.7,1.2,3.0,2.2,2.4,2.4,4.6,2.4,0.3,3.5,2.8,3.1,-1.1,3.6
34,Disposable personal income,-5.6,5.7,2.9,-4.5,-4.4,-11.4,-2.0,6.5,4.1,12.2,4.3,2.0,3.5,4.2,2.4,1.2,2.0,2.3,3.1
,Current-dollar measures:,,,,,,,,,,,,,,,,,,,
35,GDP,9.8,6.7,5.3,9.8,14.6,7.2,10.0,7.6,6.8,6.8,4.7,8.2,5.1,4.0,6.3,5.1,4.3,2.9,6.0
36,GDI,10.0,5.5,5.5,11.0,14.4,9.6,9.1,8.2,1.5,7.1,3.7,5.8,7.5,5.1,5.6,3.6,6.2,4.6,6.0
37,Average of GDP and GDI,9.9,6.1,5.4,10.4,14.5,8.4,9.5,7.9,4.1,6.9,4.2,7.0,6.3,4.6,5.9,4.3,5.3,3.8,6.0
38,Final sales of domestic product,9.2,7.3,5.4,7.1,10.1,6.9,12.5,8.4,5.3,9.2,5.1,7.2,5.3,4.8,5.1,5.3,5.3,0.3,9.7
39,Gross domestic purchases,9.8,5.9,5.6,10.3,14.7,9.3,8.8,5.1,6.5,5.8,4.6,7.4,5.3,4.4,7.1,5.6,4.2,7.2,1.0
40,Final sales to domestic purchasers,9.2,6.5,5.6,7.6,10.3,9.0,11.0,5.9,5.1,8.0,5.0,6.5,5.5,5.2,5.9,5.8,5.1,4.6,4.4
41,Final sales to private domestic purchasers,9.9,6.5,5.5,8.3,11.1,9.9,11.3,6.2,4.6,8.4,5.5,5.7,5.4,5.0,6.1,5.4,5.1,4.8,4.6
42,GNP,9.8,6.5,5.0,9.8,15.2,6.5,10.7,7.7,6.2,6.3,4.6,8.0,4.1,3.5,6.2,4.5,5.6,2.4,5.8
43,Disposable personal income,0.6,9.7,5.6,0.8,2.2,-4.5,5.4,11.5,8.4,16.6,7.4,4.8,5.3,7.9,5.1,3.0,4.6,5.8,5.3
 ,,,,,,,,,,,,,,,,,,,,
1. Gross domestic income deflated by the implicit price deflator for gross domestic product.,,,,,,,,,,,,,,,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,
